pull,timestamp,windows,risk_mean,risks,attack_ratio
88,21:40:28,248,0.488,0.56;0.44;0.50;0.44;0.50,0.21774193548387097
89,21:41:04,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
90,21:41:41,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
91,21:42:32,18,0.9640000000000001,1.00;1.00;0.94;0.94;0.94,0.8333333333333334
92,21:43:09,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
93,21:43:53,76,0.41200000000000003,0.38;0.46;0.44;0.42;0.36,0.4605263157894737
94,21:44:41,516,0.124,0.14;0.14;0.10;0.14;0.10,0.005813953488372093
95,21:45:18,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
96,21:45:55,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
97,21:46:39,12,0.976,0.96;0.96;1.00;0.96;1.00,0.8333333333333334
98,21:47:17,4,0.8880000000000001,0.92;0.92;0.92;0.92;0.76,0.75
